components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shape3+shape6+shell6_shape+shell6_shape3+hydro4+chem,6,0.6787287597914983,0.03113371226723606,0.7768068269800513,0.0172939666525988,0.905723095050499,0.01584816826409353,0.7677809290467382,0.7098371573763665,0.6191752205065122,0.6472457891814062,0.6496047028464678,0.689655172413793,0.8011940298507463,0.6666666666666666,0.8615005683971202,0.6781609195402298,0.6666666666666666
shape3+shape6+shell6_shape+shell6_shape3+hydro4,5,0.678636280910171,0.030206036820575443,0.7765203456653448,0.017028539555248454,0.9060672866574196,0.01646561908330422,0.7676006315284252,0.7053517608412317,0.6194229540468025,0.6473858891778832,0.6534201689565122,0.7008547008547008,0.8002985074626866,0.6573426573426574,0.8628268283440697,0.679098679098679,0.6573426573426574
shape3+shell6_shape+geom,3,0.6786172774567949,0.029128904997094494,0.7750118965887591,0.016495772443906476,0.903549588562356,0.014956215027199286,0.768343730458462,0.71197410344459,0.6165839201518407,0.6503221549015443,0.6458624783275375,0.6607142857142858,0.8032835820895523,0.6901408450704225,0.8624478969306556,0.6754275653923542,0.6607142857142858
shape3+shell6_shape+hydro4+chem,4,0.6785664297563596,0.02784744335971747,0.7759384685830714,0.016251268230597263,0.9051448675895313,0.014601968970815645,0.7664685498271663,0.7094702133598809,0.6208546100809655,0.6468136401636506,0.6492251353501345,0.689655172413793,0.8056716417910448,0.6620689655172415,0.8592269799166352,0.6758620689655173,0.6620689655172415
shape6+shell6_shape+shell6_shape3+geom,4,0.6784530018606503,0.030243920787974155,0.7753318166328725,0.017210730884915173,0.9050477056188297,0.01620987769932282,0.7696463568011397,0.7041513751407092,0.6147594301607278,0.6469893880396766,0.6567184591609986,0.6548672566371682,0.7991044776119404,0.6330935251798562,0.8599848427434634,0.6439803909085122,0.6330935251798562
shape3+shape6+shell6_shape,3,0.6782786410590341,0.028432319393197264,0.7760893807918556,0.014889393968614838,0.9032443689353333,0.01743075243434433,0.7660454818317506,0.7048869115786625,0.6213771606863725,0.6501684166826561,0.6489152345157294,0.7118644067796609,0.8032835820895522,0.6712328767123287,0.8561955286093217,0.6915486417459948,0.6712328767123287
shape3+shape6+shell6_shape+hydro4+chem,5,0.6782712238946226,0.03056817846003531,0.7762580564529057,0.01730908861946885,0.9051590810660234,0.015798049718465955,0.7682083042606732,0.708576374681906,0.6217596667489332,0.6476713380400859,0.6451404357415147,0.689655172413793,0.8023880597014925,0.6666666666666666,0.858658582796514,0.6781609195402298,0.6666666666666666
shape6+shell6_shape3+chem,3,0.6781922516856774,0.029539968405078373,0.77533794337541,0.01618245024026398,0.9049979919781844,0.016182223488252653,0.7657319565821987,0.7054595076997653,0.6203731644040642,0.6496563146589829,0.6497403150833756,0.689655172413793,0.7973134328358209,0.6433566433566433,0.8594164456233422,0.6665059078852182,0.6433566433566433
shape3+shell6_shape3+hydro4,3,0.6781805902544317,0.03152742873590135,0.7763453344054055,0.019507557777358284,0.9025685023330687,0.015619432026255665,0.7640136972772491,0.7106664000346651,0.6170100207136726,0.6474852984995008,0.6517275347470711,0.6428571428571428,0.8011940298507463,0.6619718309859155,0.867942402425161,0.6524144869215291,0.6428571428571428
shape6+hydro4+geom+chem,4,0.6781357589626391,0.031850220470187846,0.7752808591559696,0.018326667967781117,0.9057248366068754,0.015895172766964963,0.7692493891901929,0.7089428490425989,0.6191467846663425,0.6500547625382602,0.6432850093758014,0.6486486486486487,0.7997014925373134,0.6376811594202898,0.8584691170898068,0.6431649040344692,0.6376811594202898
shape6+shell6_shape+shell6_shape3,3,0.6781321421288387,0.029973806884694382,0.7751016034705722,0.016729824929755863,0.9030248863070611,0.017398694578797304,0.7627536869498677,0.7038223091157246,0.6160868420225569,0.6479236158158461,0.6600742567401976,0.689655172413793,0.7982089552238806,0.647887323943662,0.859037514209928,0.6687712481787276,0.647887323943662
shape6+shell6_shape+geom+chem,4,0.6781084726927995,0.02807999060428779,0.7748251316522138,0.01494325829634778,0.9048475541730747,0.016978096205302058,0.7672368902776415,0.7090892467841324,0.6202852705556868,0.6513993843074907,0.6425315715390455,0.6782608695652174,0.7997014925373135,0.6428571428571429,0.8558165971959075,0.6605590062111801,0.6428571428571429
shape6+shell6_shape+hydro4+chem,4,0.6780099960226684,0.031543109871492135,0.7750020144982155,0.017735036170202688,0.9049178202310851,0.01660060085589835,0.770211332372238,0.7083736034067242,0.6166672425307742,0.646317047828352,0.6484807539752536,0.689655172413793,0.8035820895522388,0.6573426573426574,0.8556271314892006,0.6734989148782252,0.6573426573426574
